dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,training_gpu_power,training_duration,prediction_gpu_power,prediction_duration,directed,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,eccentricity_deciles,centralization
FB15k237,2,RotatE,pagerank,0.03,0.47555045251924893,0.414696744563015,0.3405038497906254,0.17594218560043226,0.2796704173088074,1068.0504150390625,0.43215514958962137,0.3815197246491925,0.31446915541435,0.1443606036536934,294.70058564339877,5217.642062902451,140.5041305374174,0.08310365676879883,True,14505,116735,0.0005548755179424407,21,0.08806235822564373,1168,0.9168562564632885,0.9991176596564869,3,0,0,18,16.09582902447432,135,"[0.0, 1.0, 3.0, 5.0, 8.0, 11.0, 15.0, 18.0, 25.0, 38.0, 135.0]",8.04791451223716,"[0.0, 0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 13.0, 20.0, 104.0]",8.04791451223716,"[0.0, 0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 13.0, 20.0, 101.0]",0,5.632414566131648,-0.05762357916233534,9.698035160289555,"[0.0, 0.0, 1.0, 11.0, 12.0, 12.0, 12.0, 13.0, 13.0, 14.0, 21.0]",0.0006016101949611063
YAGO310,2,RotatE,degree,0.05,0.0006994311293481302,0.0003730299356523361,0.00011657185489135503,2.3314370978271005e-05,0.0005188972572796047,32444.001953125,0.0006289802657441623,0.00031449013287208113,7.862253321802028e-05,0.0,272.49439045962214,1772.2143528461456,117.09475652615922,0.09690999984741211,True,123143,178332,1.1760163175227639e-05,42,0.020587195718720773,34777,0.6858043088117067,0.9724726913846085,3,0,0,8,2.896340027447764,35,"[0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 5.0, 7.0, 35.0]",1.448170013723882,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 35.0]",1.448170013723882,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4.0, 33.0]",0,10.134277212492378,-0.062366793730614344,1.316924226306002,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 42.0]",0.00018450615625461499
FB15k237,0,RotatE,degree,0.05,0.42323257350512056,0.37797324083250744,0.3177238189626693,0.16798810703666997,0.25840693712234497,1443.751953125,0.3995197635759143,0.3562369166358823,0.3005787464597956,0.1539834995690186,268.13779820207753,4297.947729587555,112.44764075716559,0.07771468162536621,True,14505,95747,0.00045511342970347256,27,0.09238284469339858,1430,0.8991382281971734,0.9990078018110228,3,0,0,17,13.201930368838331,94,"[0.0, 1.0, 3.0, 5.0, 7.0, 10.0, 13.0, 16.0, 21.0, 31.0, 94.0]",6.600965184419166,"[0.0, 0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 11.0, 16.0, 91.0]",6.600965184419166,"[0.0, 0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 11.0, 16.0, 81.0]",0,6.181939394793519,-0.0658505849175223,13.16704584625991,"[0.0, 0.0, 0.0, 16.0, 17.0, 17.0, 18.0, 18.0, 19.0, 19.0, 27.0]",0.0005266618226584455
YAGO310,0,RotatE,harmonic_centrality,0.1,0.46603509070053956,0.40321381537023665,0.3547676196949743,0.24357449339394197,0.3198138475418091,5480.89111328125,0.4752233228390796,0.41147073127031664,0.36239729708976426,0.25176610611994166,176.2735594587819,7536.179617643356,76.14293102397697,0.07959747314453125,True,123143,705351,4.651460677730295e-05,21,0.008052716198718245,14038,0.8846950293561144,0.9996937694849798,3,0,0,17,11.455803415541281,4406,"[0.0, 0.0, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 13.0, 18.0, 4406.0]",5.7279017077706404,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 7.0, 4406.0]",5.7279017077706404,"[0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 6.0, 8.0, 11.0, 14.0, 207.0]",0,7.634051089316882,-0.05564505209702975,9.46560502830043,"[0.0, 0.0, 0.0, 3.0, 13.0, 13.0, 14.0, 14.0, 15.0, 15.0, 21.0]",0.0062000472420593086
FB15k237,0,RotatE,pagerank,-0.1,0.5756360528564854,0.4862763789362961,0.40524949050029585,0.22700677141542305,0.34552067518234253,199.47898864746094,0.543387314439946,0.46295546558704453,0.3763157894736842,0.15377867746288798,256.48961669555445,10843.058415651321,92.83214386130159,0.08300304412841797,True,14505,243735,0.0011585435761828139,15,0.01631336404159007,1458,0.8991382281971734,0.9999671774673313,3,0,0,21,33.60703205791106,6782,"[0.0, 0.40000000000009095, 8.0, 11.0, 16.0, 21.0, 27.0, 33.0, 42.0, 60.0, 6782.0]",16.80351602895553,"[0.0, 0.0, 2.0, 3.2000000000007276, 5.0, 7.0, 10.0, 14.0, 18.0, 28.0, 5633.0]",16.80351602895553,"[0.0, 0.0, 4.0, 6.0, 8.0, 12.0, 15.0, 19.0, 24.0, 34.0, 1149.0]",0,3.9683598874948656,-0.12634464592936606,6.6861771802826615,"[0.0, 0.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.02666709147663761
WN18,1,RotatE,harmonic_centrality,-0.1,0.8474369113523618,0.8426198864044863,0.839240779351499,0.8305413760874254,0.8366864323616028,1457.4085693359375,0.8543023416932243,0.8486213107939587,0.8446723015103228,0.8275599279479008,266.6166078559759,7842.789068222046,101.36711652424505,0.08729863166809082,True,40943,111842,6.672002638190569e-05,20,0.008723763894028808,4103,0.8998119336638741,1.0,3,0,0,4,5.463302640255965,886,"[0.0, 0.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 6.0, 10.0, 886.0]",2.7316513201279826,"[0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 516.0]",2.7316513201279826,"[0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 370.0]",0,8.19540963886922,-0.08709590332588163,13.258896514666732,"[0.0, 0.0, 14.0, 14.0, 14.0, 15.0, 15.0, 15.0, 16.0, 16.0, 20.0]",0.0078553810869996
WN18,2,RotatE,pagerank,0.05,0.7948470653072471,0.793744833287407,0.7931937172774869,0.7915403692477266,0.7928113341331482,2235.716552734375,0.834214002642008,0.832892998678996,0.8321003963011889,0.8254953764861295,253.3402097101214,4185.66893696785,106.88988235466665,0.07600235939025879,True,40943,58997,3.519501972830681e-05,68,0.05079966055225537,11541,0.5566030823339765,0.7984473786802718,3,0,0,4,2.8819089954326746,17,"[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 6.0, 17.0]",1.4409544977163373,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 9.0]",1.4409544977163373,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 9.0]",0,20.707231161774146,-0.008769557941385758,21.95945582883521,"[0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 42.0, 45.0, 47.0, 49.0, 68.0]",0.00025296868507870574
FB15k237,1,RotatE,betweenness,-0.2,0.5698342855115148,0.4804123345516483,0.40356978105815977,0.21869344593875306,0.33897748589515686,172.15061950683594,0.5546061415220294,0.45451713395638627,0.3616822429906542,0.14641744548286603,274.36325154659124,10024.812278270721,109.62880665265708,0.08199477195739746,True,14504,225607,0.0010725237858047818,14,0.015672001971697255,2901,0.8000551571980143,1.0,3,0,0,22,31.109624931053503,6529,"[0.0, 0.0, 1.0, 9.0, 14.0, 19.0, 25.0, 31.0, 41.0, 59.0, 6529.0]",15.554812465526751,"[0.0, 0.0, 0.0, 2.0, 4.0, 6.0, 9.0, 13.0, 17.0, 27.0, 5601.0]",15.554812465526751,"[0.0, 0.0, 0.0, 4.0, 7.0, 11.0, 14.0, 18.0, 23.0, 33.0, 928.0]",0,3.843534384665504,-0.1387374657898648,6.48669332597904,"[0.0, 0.0, 0.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 14.0]",0.027867556419800543
YAGO310,1,RotatE,harmonic_centrality,0.03,0.45169072688558537,0.39134320486022933,0.34503623683850676,0.2370240862651638,0.31101927161216736,5237.552734375,0.474709852924352,0.4100448726912174,0.36072304778369585,0.25027012597404247,267.79635073697216,7685.917195796967,0.0,0.08092689514160156,True,123143,769742,5.0760892732802154e-05,34,0.0075449773242549315,4974,0.9586415793021121,0.9997921381449888,3,0,0,17,12.501595705805446,4407,"[0.0, 2.0, 3.0, 4.0, 6.0, 7.0, 9.0, 11.0, 13.0, 18.0, 4407.0]",6.250797852902723,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 8.0, 4407.0]",6.250797852902723,"[0.0, 0.0, 1.0, 2.0, 2.0, 4.0, 7.0, 9.0, 11.0, 15.0, 201.0]",0,7.703906330926873,-0.050428799279807174,10.32977107915188,"[0.0, 0.0, 1.0, 12.0, 13.0, 13.0, 14.0, 14.0, 14.0, 15.0, 34.0]",0.00567455625822807
FB15k,1,RotatE,pagerank,-0.05,0.8453740525475001,0.7997773699058496,0.7571547534074301,0.5974304068522484,0.6902403235435486,63.54267501831055,0.8910568548110555,0.8657156573623208,0.8388313558740828,0.6444345380975242,275.93142726618777,16913.148158073425,98.78897584441414,0.08849000930786133,True,14950,471020,0.0021075894384273305,9,0.017250088858131955,756,0.948829431438127,0.9999405545412084,3,0,0,26,63.01270903010033,9604,"[0.0, 9.0, 16.0, 22.0, 30.0, 40.0, 51.0, 62.0, 76.0, 108.0, 9604.0]",31.506354515050166,"[0.0, 4.0, 6.0, 9.0, 13.0, 18.0, 23.0, 29.0, 36.0, 51.100000000000364, 7768.0]",31.506354515050166,"[0.0, 4.0, 9.0, 13.0, 17.0, 21.0, 27.0, 33.0, 41.0, 57.0, 3386.0]",0,3.015474428901366,-0.1062524256486743,6.165083612040134,"[0.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 9.0]",0.01828232384441277
