timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-03-25T11:58:42,codecarbon,7cad862c-5faa-4c6e-a952-b1b3653b0370,5.005571126937866,2.2980504259747267e-05,4.590985459396614e-06,42.5,0.0,6.0,5.909109082486895e-05,0,8.341153462727864e-06,6.743224428759681e-05,Italy,ITA,,,,macOS-10.16-x86_64-i386-64bit,3.10.13,2.3.1,8,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,,,,,16.0,machine,N,1.0
2024-03-25T12:00:13,codecarbon,909381cf-98b9-4519-82d6-20de2359f480,5.004408836364746,2.297523826317966e-05,4.5909994595623625e-06,42.5,0.0,6.0,5.907732430431579e-05,0,8.339467843373616e-06,6.74167921476894e-05,Italy,ITA,,,,macOS-10.16-x86_64-i386-64bit,3.10.13,2.3.1,8,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,,,,,16.0,machine,N,1.0
2024-03-25T12:00:46,codecarbon,c2f74ceb-e2b6-47c5-86d7-3cd3aa80d345,5.005069732666016,2.2978173974534868e-05,4.590979786868073e-06,42.5,0.0,6.0,5.908511529366176e-05,0,8.340291182200115e-06,6.742540647586187e-05,Italy,ITA,,,,macOS-10.16-x86_64-i386-64bit,3.10.13,2.3.1,8,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,,,,,16.0,machine,N,1.0
2024-03-25T12:01:02,codecarbon,5fc565b5-7559-41c7-a007-9c5131c6b4f4,3.0046348571777344,1.3793741031551957e-05,4.590821077176903e-06,42.5,0.0,6.0,3.5468808313210805e-05,0,5.006496508916219e-06,4.047530482212703e-05,Italy,ITA,,,,macOS-10.16-x86_64-i386-64bit,3.10.13,2.3.1,8,Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,,,,,16.0,machine,N,1.0
