order,40943,2.384185791015625e-06
size,121153,9.5367431640625e-07
max_degree,906,0.0005102157592773438
min_degree,1,0.0017118453979492188
mean_degree,5.9181300832865205,0.022629976272583008
diameter,18,107.10135746002197
girth,3,0.0004029273986816406
radius,1,98.37781310081482
average_path_length,7.635397975078826,106.73657011985779
clique_number,4,0.31545519828796387
len_maximal_cliques,66600,0.3537468910217285
len_largest_cliques,41,0.31465744972229004
motifs_randesu_no,1470123,0.03620195388793945
num_farthest_points,3,115.26902914047241
mincut_value,0.0,0.019244909286499023
len_feedback_arc_set,80232,0.017775774002075195
assortativity_degree,-0.08074967255612937,0.0008072853088378906
density,0.00014454912029911876,2.3126602172851562e-05
transitivity_undirected,0.00892743039707896,0.020159244537353516
reciprocity,1.0,1.9311904907226562e-05
min_diversity,1.0,0.0007448196411132812
max_diversity,1.0,0.0007448196411132812
mean_diversity,1.0,0.0007448196411132812
min_authority_score,9.849991795717825e-19,0.28511643409729004
max_authority_score,0.9999999999999999,0.28511643409729004
mean_authority_score,0.0006473241570821778,0.28511643409729004
min_hub_score,1.3909525796629047e-17,0.25339269638061523
max_hub_score,1.0,0.25339269638061523
mean_hub_score,0.0006473241570743019,0.25339269638061523
min_closeness,0.08106870501386629,105.72593975067139
max_closeness,1.0,105.72593975067139
mean_closeness,0.13331659154116998,105.72593975067139
max_bibcoupling,36,184.32690834999084
min_bibcoupling,0,184.32690834999084
max_cocitation,36,196.0849769115448
min_cocitation,0,196.0849769115448
min_constraint,0.002051566939071862,0.08436942100524902
max_constraint,1.0987654320987654,0.08436942100524902
mean_constraint,0.500288210736471,0.08436942100524902
min_coreness,1,0.007096767425537109
max_coreness,7,0.007096767425537109
mean_coreness,3.3809198153530517,0.007096767425537109
min_eccentricity,1.0,96.44800591468811
max_eccentricity,18.0,96.44800591468811
mean_eccentricity,13.41726302420438,96.44800591468811
min_strength,1.0,0.002840757369995117
max_strength,906.0,0.002840757369995117
mean_strength,5.9181300832865205,0.002840757369995117
min_transitivity,0.0,0.01846456527709961
max_transitivity,1.0,0.01846456527709961
mean_transitivity,nan,0.01846456527709961
connected_components_strong,22,0.06597638130187988
connected_components_weak,22,0.008472442626953125
